,name,mg,cg,err_mg,err_cg,mi,ci,err_mi,err_ci
0,B,-1.3295472028337674,-1.1021191696512562,0.3569440052969245,0.10453888238542958,-1.3006359862117967,-1.1401150243212583,0.3727420329846709,0.10916568136191686
1,V,-1.8682435072717405,-2.3285313435911243,0.27363652750450035,0.08014045996193342,-1.83933229064977,-2.3665271982611267,0.2928122803452961,0.0857564998481012
2,I,-2.3448085757322805,-3.743153757698343,0.17077160756584134,0.0500142115658891,-2.315897359110311,-3.7811496123683455,0.2025205831683866,0.05931259556203279
3,J,-2.709328464397264,-4.734688967158513,0.10125863553262007,0.02965581276998366,-2.6804172477752934,-4.772684821828514,0.15373719296416552,0.04502530955850589
4,H,-2.8923994010639205,-5.294018825123279,0.08380662197746626,0.02454460774802649,-2.8634881844419517,-5.332014679793281,0.14462582406433552,0.0423568452961708
5,K,-2.9730183094478053,-5.448870028937551,0.08125001541513778,0.023795849430870417,-2.9441070928258366,-5.486865883607553,0.1437123324503047,0.042089309237343296
6,B0,-1.9158991553577553,-3.2099384000766307,0.10792622041826183,0.03160856127342233,-1.8869879387357849,-3.2479342547466326,0.16587865636234594,0.048581203467169654
7,V0,-2.3158404175953953,-3.9375536568929363,0.09996185250354571,0.029276021411831964,-2.2869292009734252,-3.975549511562938,0.1554589228518936,0.045529555926456404
8,I0,-2.6169474972090634,-4.721439324185845,0.09461469652601574,0.027709989480950933,-2.5880362805870933,-4.759435178855847,0.15105596007901076,0.04424005168872887
9,J0,-2.84002676221177,-5.2045234826426405,0.08837025920992526,0.02588116902602566,-2.8111155455898,-5.242519337312642,0.14885737631974408,0.04359614820354971
10,H0,-2.973414441832503,-5.585251863830907,0.084133910411494,0.024640461345798715,-2.9445032252105334,-5.62324771850091,0.14687154603568603,0.04301455424084994
11,K0,-3.026282341776321,-5.640343684220468,0.08357264078111279,0.0244760812217282,-2.997371125154351,-5.67833953889047,0.14639093362062536,0.04287379635169808
12,BBV,-3.605973521587782,-6.284699646622958,0.12910065561574527,0.03780995913370093,-3.5770623049658123,-6.32269550129296,0.1593180143038676,0.04665977551671661
13,VBV,-3.605973521587782,-6.284699646622958,0.1291006556157453,0.037809959133700936,-3.5770623049658123,-6.32269550129296,0.15931801430386777,0.046659775516716656
14,IBV,-3.401348424436435,-6.148504085941698,0.11101315512942289,0.0325126378230008,-3.3724372078144658,-6.186499940611698,0.15122926784046728,0.044290808668598344
15,JBV,-3.216745628577548,-5.889890111643807,0.09444598749340133,0.027660579339707163,-3.1878344119555755,-5.927885966313808,0.14722426043000927,0.04311785438887493
16,HBV,-3.206928533655126,-6.010085287972041,0.08810820267128941,0.025804420019839108,-3.178017317033155,-6.048081142642043,0.14583400802538532,0.04271068847361563
17,KBV,-3.179808181151416,-5.919654056998338,0.08584196421157295,0.025140702371462965,-3.1508969645294442,-5.957649911668343,0.14548209275641258,0.042607622366980284
18,BBI,-3.2241232690688846,-6.030545537659354,0.10062282530187497,0.02946960179586736,-3.195212052446916,-6.0685413923293545,0.14918864395356768,0.043693167197275576
19,VBI,-3.314484779206945,-6.0906888764217335,0.10518985306692347,0.030807156065714932,-3.285573562584975,-6.128684731091737,0.14962817001679996,0.04382189204696551
20,IBI,-3.2241232690688846,-6.030545537659354,0.10062282530187497,0.02946960179586736,-3.195212052446917,-6.068541392329355,0.14918864395356707,0.043693167197275395
21,JBI,-3.1316309158023414,-5.833238966745051,0.09058829388781048,0.02653076913942542,-3.102719699180373,-5.871234821415054,0.1473867020038992,0.04316542896733929
22,HBI,-3.154169071284194,-5.97496933856562,0.08597066486676837,0.025178395181698593,-3.125257854662224,-6.0129651932356225,0.14617655157799572,0.042811009867522884
23,KBI,-3.1451210208080953,-5.896566775344394,0.08465673601716613,0.024793582293870062,-3.1162098041861253,-5.934562630014397,0.14585390996903136,0.04271651719440987
24,BBJ,-3.1051006926649842,-5.77664415465568,0.08876194429675041,0.025995882596266683,-3.0761894760430164,-5.814640009325684,0.1476223315030076,0.043234438235258896
25,VBJ,-3.2236278506543496,-5.896871026800608,0.09487603584433991,0.027786528433435237,-3.1947166340323774,-5.93486688147061,0.14725818081455622,0.04312778871761557
26,IBJ,-3.1688822565089074,-5.912704285089709,0.09398833373180555,0.02752654539587636,-3.1399710398869374,-5.950700139759712,0.14762411501559558,0.04323496057604597
27,JBJ,-3.1051006926649856,-5.776644154655682,0.08876194429674948,0.025995882596266413,-3.0761894760430164,-5.814640009325684,0.1476223315030076,0.043234438235258896
28,HBJ,-3.1377239672161736,-5.939888307784195,0.08493906650995643,0.0248762689722892,-3.1088127505942027,-5.977884162454199,0.14641517155143904,0.04288089496145479
29,KBJ,-3.1343090463103365,-5.87350245123948,0.08406454326965085,0.02462014565657311,-3.1053978296883664,-5.9114983059094826,0.1460659672118628,0.042778622809964036
30,BBH,-3.1429540936056917,-5.966059425336244,0.08436814018752306,0.024709060674108205,-3.114042876983721,-6.004055280006246,0.1462542070067008,0.04283375296337972
31,VBH,-3.252523576563284,-6.041462836480427,0.09140436815166102,0.026769774390166305,-3.223612359941315,-6.079458691150427,0.14598643477293086,0.04275532999048548
32,IBH,-3.18645085786154,-6.000616105375039,0.09182444347700133,0.026892802664565372,-3.1575396412395698,-6.038611960045042,0.14682388645212321,0.043000596086274774
33,JBH,-3.1135382446303943,-5.818864963082189,0.08773164503702972,0.025694136855939315,-3.0846270280084243,-5.856860817752191,0.14727678931341306,0.04313323862472845
34,HBH,-3.1429540936056917,-5.966059425336244,0.08436814018752306,0.024709060674108205,-3.1140428769837203,-6.004055280006247,0.14625420700670091,0.04283375296337975
35,KBH,-3.1377476376935003,-5.890708876591379,0.08368615386190957,0.02450932601762483,-3.1088364210715294,-5.92870473126138,0.14596016729699848,0.042747636983917765
36,BBK,-3.1372274292522317,-5.883180148379255,0.08365242277636285,0.02449944712924914,-3.1083162126302613,-5.9211760030492595,0.14595065031322874,0.04274484972644263
37,VBK,-3.2481520770568273,-5.978196212849141,0.09042348069679707,0.026482499980859258,-3.2192408604348572,-6.0161920675191425,0.1454571204443759,0.04260030867757199
38,IBK,-3.1837929861616145,-5.962149998207216,0.09125290748035926,0.02672541580991767,-3.154881769539644,-6.0001458528772185,0.14651710985272792,0.04291074982925161
39,JBK,-3.1122617667745085,-5.800391108981853,0.08751824563031557,0.02563163815824847,-3.083350550152538,-5.838386963651855,0.14717366602203297,0.04310303670658777
40,HBK,-3.142162852195023,-5.954608166458981,0.08422443595984047,0.02466697373852988,-3.113251635573053,-5.992604021128981,0.14618626960738032,0.042813856005616754
41,KBK,-3.1372274292522317,-5.883180148379255,0.08365242277636267,0.024499447129249084,-3.1083162126302604,-5.921176003049259,0.1459506503132286,0.04274484972644259
42,BVI,-2.922149855087104,-5.8295563188360955,0.09858650926406298,0.02887322197265304,-2.893238638465135,-5.867552173506098,0.15669669989214088,0.045892066086340326
43,VVI,-3.0839707227323028,-5.937261991823827,0.09702072544828481,0.02841464783292913,-3.0550595061103323,-5.975257846493828,0.15099502368007392,0.04422220512751221
44,IVI,-3.083970722732304,-5.937261991823827,0.09702072544828458,0.02841464783292906,-3.0550595061103323,-5.975257846493829,0.15099502368007367,0.04422220512751214
45,JVI,-3.0643208113117484,-5.788438316442461,0.08876171034138841,0.025995814077306542,-3.0354095946897766,-5.826434171112462,0.14831580295409513,0.04343753656269148
46,HVI,-3.112446027062283,-5.947199072453399,0.08478038173609474,0.024829794655127645,-3.0835348104403133,-5.985194927123403,0.14675730810152962,0.042981097155745523
47,KVI,-3.1176898480876134,-5.8783089760772445,0.0839422348576762,0.024584324954994075,-3.0887786314656434,-5.916304830747246,0.14628182092582773,0.04284184030537446
48,BVJ,-2.8857919681366413,-5.554190478794304,0.08582328655252258,0.025135232209270223,-2.85688075151467,-5.592186333464304,0.15347785082421805,0.04494935552352216
49,VVJ,-3.056216610556377,-5.727059060494214,0.08711150758298171,0.0255125159982992,-3.0273053939344057,-5.7650549151642165,0.14835578529584645,0.04344924626858319
50,IVJ,-3.0670962225293414,-5.809458609575423,0.08957692956003066,0.026234568909300687,-3.03818500590737,-5.847454464245423,0.14845709031844476,0.04347891566682297
51,JVJ,-3.056216610556377,-5.727059060494214,0.08711150758298174,0.02551251599829921,-3.0273053939344057,-5.7650549151642165,0.14835578529584645,0.04344924626858319
52,HVJ,-3.107422532758441,-5.909152341882738,0.08389390351385821,0.024570170060691492,-3.0785113161364697,-5.947148196552741,0.14688578773026884,0.04301872523353469
53,KVJ,-3.114387108738678,-5.8532948272490195,0.08343942242989129,0.024437065305104692,-3.0854758921167087,-5.891290681919023,0.14641489268434665,0.04288081328910915
54,BVH,-2.967696434662532,-5.845450794568379,0.08036318590182,0.023536121953134696,-2.93878521804056,-5.883446649238381,0.15110908763037006,0.04425561125762639
55,VVH,-3.118739104087592,-5.949395179405721,0.08324795469030899,0.024380989777257833,-3.0898278874656206,-5.987391034075723,0.14660544002371326,0.042936619257561634
56,IVH,-3.105109898596318,-5.944638969873619,0.08714902828124142,0.025523504757892262,-3.0761986819743483,-5.982634824543621,0.14729804832879756,0.04313946479375196
57,JVH,-3.0744731786674913,-5.791981207216374,0.08591069601053543,0.025160831986588174,-3.045561962045522,-5.829977061886378,0.14779414514128522,0.043284757628378204
58,HVH,-3.118739104087592,-5.949395179405721,0.08324795469030899,0.024380989777257833,-3.0898278874656206,-5.987391034075723,0.14660544002371326,0.042936619257561634
59,KVH,-3.121827285468892,-5.879752825399488,0.08300252606546948,0.02430911062040024,-3.0929160688469235,-5.91774868006949,0.14622410904369984,0.04282493811464292
60,BVK,-2.9722883956267814,-5.74189632947398,0.08072763282758012,0.02364285823037257,-2.9433771790048118,-5.779892184143983,0.15095461861444884,0.044210371617660595
61,VVK,-3.1222444178007596,-5.870345969409998,0.0830135585331488,0.024312341720584118,-3.093333201178788,-5.90834182408,0.1461976401552867,0.04281718612001174
62,IVK,-3.1072411293339237,-5.896577050196219,0.08689103237224828,0.025447944996176357,-3.0783299127119546,-5.934572904866221,0.1469792827141558,0.043046107290605685
63,JVK,-3.075496730271737,-5.768898837897623,0.08579644179241955,0.025127370132368997,-3.0465855136497657,-5.8068946925676235,0.14764824531945706,0.04324202766488866
64,HVK,-3.1193735658696737,-5.935087272396495,0.08315059268915481,0.02435247517934772,-3.0904623492477046,-5.973083127066498,0.14650049691173325,0.04290588436503608
65,KVK,-3.1222444178007596,-5.870345969409998,0.08301355853314848,0.024312341720584024,-3.093333201178788,-5.908341824079999,0.1461976401552867,0.04281718612001174
66,BIJ,-2.8406897792613823,-5.2125974114006866,0.10020997521223868,0.02934868959024732,-2.811778562639412,-5.250593266070688,0.16707201957175888,0.04893070606236842
67,VIJ,-3.0217874587432036,-5.4663009937815294,0.09266035244955712,0.027137616944873127,-2.9928762421212323,-5.504296848451532,0.15585354942169255,0.045645130974514884
68,IIJ,-3.046163298226932,-5.650917705014111,0.08663965398345826,0.025374323320423324,-3.0172520816049597,-5.688913559684113,0.1493391981782364,0.04373726030474261
69,JIJ,-3.0461632982269307,-5.650917705014111,0.08663965398345844,0.025374323320423376,-3.0172520816049593,-5.688913559684113,0.14933919817823668,0.043737260304742696
70,HIJ,-3.1011908562802564,-5.8619551318077425,0.08342380579014658,0.02443249162956651,-3.072279639658286,-5.899950986477744,0.1474078281090811,0.04317161621069427
71,KIJ,-3.11029003967291,-5.822264617310209,0.08308978714813588,0.02433466694274301,-3.0813788230509407,-5.8602604719802125,0.14673723654836587,0.04297521876108322
72,BIH,-3.0095096880432513,-5.860042444420964,0.08588437184042622,0.025153122375887044,-2.9805984714212785,-5.898038299090968,0.15864007791669907,0.04646122697355209
73,VIH,-3.1506576181186756,-5.9605338434153285,0.08324848168796964,0.024381144120083728,-3.121746401496705,-5.998529698085333,0.15024403134501368,0.04400226054734784
74,IIH,-3.124516355127217,-5.95141127759146,0.08227096301705429,0.024094856333058492,-3.095605138505246,-5.989407132261462,0.14672058197952786,0.04297034110524057
75,JIH,-3.083793384764569,-5.795233697107179,0.08436718706311261,0.024708781530715502,-3.0548821681425973,-5.833229551777183,0.14797179306456185,0.04333678571984869
76,HIH,-3.1245163551272173,-5.95141127759146,0.08227096301705414,0.024094856333058447,-3.095605138505246,-5.989407132261462,0.14672058197952784,0.042970341105240555
77,KIH,-3.1256255886385915,-5.881078326416632,0.08232664896095412,0.02411116518333607,-3.0967143720166215,-5.919074181086635,0.14628147857945245,0.04284174004172826
78,BIK,-3.0124812543007162,-5.671624926958747,0.08589978919945938,0.025157637687697146,-2.983570037678746,-5.709620781628749,0.15748047843899068,0.046121612827872506
79,VIK,-3.152925989307581,-5.816703677413633,0.08287225255032941,0.024270957163625317,-3.12401477268561,-5.854699532083637,0.14909366477417846,0.04366535046099232
80,IIK,-3.1258955248100726,-5.863962536662431,0.08243333087773644,0.02414240932299288,-3.096984308188101,-5.901958391332431,0.146226905527872,0.04282575712638041
81,JIK,-3.084455749151729,-5.753235288634685,0.08435910901207448,0.024706415696257304,-3.0555445325297583,-5.791231143304689,0.14768882410843337,0.04325391205343473
82,HIK,-3.124926930312409,-5.925378017545154,0.08221970231141755,0.024079843510884616,-3.0960157136904387,-5.963373872215155,0.1465178578498268,0.04291096889661115
83,KIK,-3.1258955248100726,-5.863962536662431,0.08243333087773644,0.02414240932299288,-3.096984308188101,-5.901958391332431,0.146226905527872,0.04282575712638041
84,BJH,-3.490114113043883,-7.703219295181402,0.0821885352662358,0.02407071555797826,-3.4612028964219155,-7.741215149851403,0.15593721176394085,0.0456696333267791
85,VJH,-3.5175312249893853,-7.367539073003448,0.07923075682179297,0.023204465254464807,-3.4886200083674166,-7.405534927673451,0.1474638734661142,0.04318803032299253
86,IJH,-3.347575508104611,-6.806870457181037,0.07854173011391946,0.023002668667588697,-3.3186642914826394,-6.8448663118510416,0.14429447427021921,0.04225980224000084
87,JJH,-3.1909204779708142,-6.206079224146909,0.07973539803490641,0.0233522605042565,-3.1620092613488455,-6.244075078816913,0.14520502258625606,0.042526476289442415
88,HJH,-3.1909204779708142,-6.206079224146909,0.07973539803490641,0.0233522605042565,-3.1620092613488464,-6.244075078816913,0.14520502258625592,0.04252647628944237
89,KJH,-3.1692835478562063,-6.048511948737619,0.08047238594654099,0.02356810358179961,-3.140372331234235,-6.0865078034076205,0.14517433744376232,0.04251748947230995
90,BJK,-3.326273775181812,-6.510079810868266,0.08463701185124976,0.02478780563918394,-3.297362558559842,-6.548075665538268,0.1541536441380249,0.04514727642063919
91,VJK,-3.3924622647893314,-6.456745573527773,0.08024175942071818,0.02350055954435907,-3.363551048167361,-6.494741428197774,0.14550884443959738,0.04261545718426414
92,IJK,-3.271533580302978,-6.253108009499826,0.08060856049464345,0.023607985285531066,-3.242622363681006,-6.291103864169828,0.14388732259919876,0.0421405589412811
93,JJK,-3.1544003415924,-5.940127522300013,0.08145639869892685,0.023856293303046942,-3.1254891249704286,-5.978123376970015,0.14542208416570485,0.04259004753475725
94,HJK,-3.168282996174607,-6.0412256007418135,0.08052651957895829,0.0235839578036058,-3.139371779552636,-6.079221455411815,0.14518413043249503,0.04252035756389333
95,KJK,-3.1544003415924,-5.940127522300013,0.08145639869892717,0.023856293303047036,-3.125489124970429,-5.978123376970015,0.14542208416570465,0.042590047534757196
96,BHK,-3.032946718686811,-4.373975250243135,0.1648303807547007,0.048274192958997694,-3.004035502064843,-4.411971104913138,0.2050549102400308,0.06005482884158721
97,VHK,-3.1685484812053626,-4.826131405111641,0.1340106976579391,0.039247972659462296,-3.139637264583393,-4.864127259781644,0.1771407886655938,0.05187956597441784
98,IHK,-3.1353939998839238,-5.261694595102819,0.10601186744414108,0.031047901008966188,-3.106482783261952,-5.299690449772821,0.15698843818424976,0.04597750804517285
99,JHK,-3.0890175167858804,-5.463988185122503,0.08994132083415037,0.026341288887734807,-3.0601063001639113,-5.501984039792504,0.1490575862647707,0.04365478407804247
100,HHK,-3.127754601345908,-5.746084436258492,0.08413954978108774,0.02464211295889752,-3.098843384723937,-5.784080290928494,0.14640875852026866,0.04287901676459111
101,KHK,-3.127754601345908,-5.746084436258492,0.08413954978108774,0.02464211295889752,-3.098843384723937,-5.784080290928494,0.14640875852026866,0.04287901676459111
